Order_ID,Customer_ID,ZIP_Code,Account_Age_Days,Past_Purchases,Past_Returns,Product_ID,Category,Price,Discount_Percentage,Shipping_Method,Carrier,Order_Date,Delivery_Date,Size_Ordered,Bought_Two_Sizes,Review_Score,Return_Reason,Is_Returned
ORD_000001,CUST_01979,12128,964,17,0,PROD_1717,Beauty,86.51,5,Next Day,FedEx,2022-05-19,,,0,5,,0
ORD_000002,CUST_01180,49251,1126,79,6,PROD_4131,Footwear,52.59,25,Next Day,BlueDart,2022-11-14,2022-11-19,M,1,3,,0
ORD_000003,CUST_01950,28818,1591,99,2,PROD_7334,Clothing,237.26,20,Economy,USPS,2023-11-03,2023-11-13,L,0,3,,1
ORD_000004,CUST_00377,49651,237,41,2,PROD_2293,Home & Kitchen,19.44,20,Economy,BlueDart,2023-01-12,2023-01-24,,0,4,,0
ORD_000005,CUST_01159,79942,1842,17,1,PROD_6021,Electronics,19.56,10,Economy,USPS,2023-07-13,2023-07-23,,0,4,,0
ORD_000006,CUST_00054,48427,1620,73,13,PROD_8126,Electronics,26.55,15,Economy,DHL,2023-12-08,2023-12-18,,0,3,,0
ORD_000007,CUST_01463,52622,1150,69,14,PROD_8179,Clothing,21.36,0,Economy,DHL,2022-03-18,2022-03-28,XS,0,1,,1
ORD_000008,CUST_00315,86569,1011,24,6,PROD_2259,Footwear,61.04,25,Express,DHL,2023-01-06,2023-01-10,M,0,4,,0
ORD_000009,CUST_01317,24201,1659,61,13,PROD_9176,Home & Kitchen,52.93,0,Standard,USPS,2022-11-18,2022-11-24,,0,4,,0
ORD_000010,CUST_00811,54608,598,9,1,PROD_9047,Clothing,99.77,10,Next Day,USPS,2022-09-26,2022-09-30,XXL,0,3,Defective product,1
ORD_000011,CUST_01552,56009,1515,89,12,PROD_2063,Home & Kitchen,108.51,15,Express,DHL,2022-06-26,2022-06-29,,0,4,,0
ORD_000012,CUST_00953,69510,1401,70,5,PROD_3275,Footwear,36.3,5,Standard,UPS,2024-05-21,2024-05-28,XS,0,3,,0
ORD_000013,CUST_01283,57953,306,18,4,PROD_2077,Footwear,196.54,0,Economy,BlueDart,2023-07-22,2023-08-03,XL,0,3,,0
ORD_000014,CUST_01475,95316,1688,4,0,PROD_3053,Toys,118.63,0,Next Day,BlueDart,2023-05-06,2023-05-11,,0,5,,0
ORD_000015,CUST_00493,88193,595,20,1,PROD_3981,Home & Kitchen,34.93,50,Economy,BlueDart,2023-04-23,2023-05-05,,0,5,Quality issues,1
ORD_000016,CUST_01020,52081,414,66,18,PROD_4694,Beauty,15.78,15,Standard,FedEx,2022-02-26,2022-03-03,,0,3,,0
ORD_000017,CUST_01825,20114,1340,19,3,PROD_9740,Footwear,31.26,10,Economy,FedEx,2024-05-16,2024-05-26,S,0,2,,0
ORD_000018,CUST_01253,89569,262,32,3,PROD_6531,Books,142.34,50,Standard,UPS,2023-08-18,2023-08-25,,0,5,,0
ORD_000019,CUST_01010,33788,1907,66,16,PROD_4453,Beauty,5.0,10,Express,FedEx,2022-01-30,2022-02-03,,0,5,,0
ORD_000020,CUST_00940,82350,1000,8,0,PROD_5012,Toys,23.01,25,Economy,DHL,2022-02-01,2022-02-10,,0,5,,0
ORD_000021,CUST_01711,67961,1856,93,4,PROD_3353,Footwear,56.44,25,Express,FedEx,2023-04-10,2023-04-13,L,0,3,,0
ORD_000022,CUST_00163,23947,1101,91,10,PROD_2739,Toys,27.65,30,Next Day,USPS,2024-05-31,2024-06-03,,0,3,,0
ORD_000023,CUST_00466,55830,1426,70,7,PROD_3616,Footwear,5.0,20,Standard,UPS,2023-04-06,2023-04-12,XL,0,5,,0
ORD_000024,CUST_00578,90120,1021,37,0,PROD_9171,Toys,6.41,25,Standard,UPS,2022-11-17,2022-11-24,,0,5,,0
ORD_000025,CUST_01815,57526,1206,88,11,PROD_5609,Clothing,28.38,50,Next Day,BlueDart,2023-02-07,2023-02-10,M,1,4,,0
ORD_000026,CUST_00671,67125,791,63,8,PROD_3194,Toys,16.78,20,Economy,DHL,2023-11-20,2023-11-28,,0,5,,0
ORD_000027,CUST_01228,69878,1559,8,0,PROD_4189,Beauty,5.0,30,Express,USPS,2023-02-17,2023-02-22,,0,4,,0
ORD_000028,CUST_01863,70513,836,41,10,PROD_2946,Home & Kitchen,25.23,50,Economy,DHL,2023-06-01,2023-06-11,,0,2,Changed mind,1
ORD_000029,CUST_01636,67176,356,23,5,PROD_9341,Beauty,44.46,50,Economy,BlueDart,2022-12-14,2022-12-24,,0,4,Defective product,1
ORD_000030,CUST_00427,86350,984,8,1,PROD_9446,Electronics,81.51,50,Next Day,USPS,2024-01-01,2024-01-03,,0,2,,0
ORD_000031,CUST_01239,48780,1326,41,8,PROD_5911,Footwear,48.69,30,Economy,DHL,2022-06-16,2022-06-26,XL,0,4,Changed mind,1
ORD_000032,CUST_01048,57419,1499,32,3,PROD_8775,Toys,40.67,0,Economy,DHL,2022-04-23,2022-05-03,,0,3,,0
ORD_000033,CUST_00962,25043,898,98,2,PROD_3793,Beauty,105.25,25,Standard,BlueDart,2023-08-16,2023-08-25,,0,4,,0
ORD_000034,CUST_01677,35415,1924,4,0,PROD_2800,Beauty,86.84,0,Standard,DHL,2024-05-11,2024-05-16,,0,3,,0
ORD_000035,CUST_00088,70589,1615,41,5,PROD_2020,Home & Kitchen,13.51,25,Standard,DHL,2022-06-05,2022-06-12,,0,5,,0
ORD_000036,CUST_00687,83975,1528,98,10,PROD_9734,Books,14.56,25,Next Day,DHL,2022-11-29,2022-11-30,,0,3,,0
ORD_000037,CUST_00984,74722,285,22,5,PROD_5890,Beauty,26.56,10,Next Day,USPS,2024-01-09,2024-01-11,,0,3,,0
ORD_000038,CUST_00897,18564,534,5,0,PROD_5480,Footwear,301.4,15,Standard,USPS,2024-02-29,2024-03-07,L,0,3,,0
ORD_000039,CUST_01637,12456,1822,89,9,PROD_1689,Books,30.79,10,Economy,DHL,2023-01-24,2023-02-01,,0,3,,0
ORD_000040,CUST_01630,83233,371,97,25,PROD_3249,Footwear,32.71,10,Next Day,USPS,2023-03-29,2023-04-02,XL,0,2,,0
ORD_000041,CUST_01466,79541,1464,37,1,PROD_7771,Electronics,28.67,0,Standard,FedEx,2022-09-06,2022-09-11,,0,3,,0
ORD_000042,CUST_00055,92397,1297,15,1,PROD_8793,Toys,109.93,20,Express,UPS,2024-02-29,2024-03-02,,0,4,,0
ORD_000043,CUST_00952,47056,1175,84,8,PROD_1611,Footwear,93.42,50,Express,USPS,2022-11-25,2022-11-28,S,0,5,Not as described,1
ORD_000044,CUST_00457,44970,1245,45,12,PROD_2758,Clothing,102.13,10,Next Day,DHL,2024-05-06,2024-05-09,XS,1,5,Wrong size,1
ORD_000045,CUST_00356,51441,1817,86,7,PROD_8668,Home & Kitchen,12.4,30,Next Day,BlueDart,2023-10-19,2023-10-22,,0,3,,0
ORD_000046,CUST_01360,14288,1703,34,5,PROD_4164,Footwear,16.73,15,Economy,DHL,2022-06-16,2022-06-24,M,0,3,,0
ORD_000047,CUST_00334,87924,1564,3,0,PROD_4027,Home & Kitchen,16.32,0,Economy,DHL,2024-04-26,2024-05-06,,0,5,,0
ORD_000048,CUST_01917,68799,1666,71,7,PROD_5947,Electronics,31.95,15,Next Day,USPS,2022-01-07,2022-01-10,,0,4,,0
ORD_000049,CUST_01870,36174,693,12,2,PROD_9233,Footwear,83.98,25,Standard,USPS,2023-11-01,2023-11-07,M,0,5,,0
ORD_000050,CUST_00052,20328,592,53,12,PROD_3188,Beauty,21.62,5,Economy,FedEx,2022-11-15,2022-11-23,,0,4,,0
ORD_000051,CUST_00403,42914,367,30,5,PROD_5054,Books,72.28,5,Next Day,DHL,2023-01-18,2023-01-21,,0,4,,0
ORD_000052,CUST_01952,66261,1341,14,3,PROD_2838,Beauty,27.41,0,Next Day,BlueDart,2022-03-25,2022-03-29,,0,2,,0
ORD_000053,CUST_01159,79942,1842,17,1,PROD_2904,Books,16.85,25,Standard,BlueDart,2022-07-27,2022-08-05,,0,4,,0
ORD_000054,CUST_00473,62227,1402,59,0,PROD_9409,Home & Kitchen,21.76,0,Next Day,BlueDart,2022-04-04,2022-04-08,,0,4,,0
ORD_000055,CUST_01397,40539,1885,58,3,PROD_2196,Books,21.69,5,Express,USPS,2023-04-19,2023-04-22,,0,1,,0
ORD_000056,CUST_01045,17104,714,45,12,PROD_3218,Clothing,29.98,0,Express,FedEx,2023-07-09,2023-07-12,M,0,5,,0
ORD_000057,CUST_01401,10371,902,34,7,PROD_2314,Toys,52.0,20,Next Day,USPS,2023-03-07,2023-03-10,,0,4,,0
ORD_000058,CUST_01317,24201,1659,61,13,PROD_9664,Books,373.43,20,Express,USPS,2022-05-17,2022-05-22,,0,2,,0
ORD_000059,CUST_00018,40495,901,13,2,PROD_7948,Beauty,28.31,30,Economy,FedEx,2022-01-04,2022-01-14,,0,4,,0
ORD_000060,CUST_01675,79547,954,32,4,PROD_1527,Electronics,15.88,0,Standard,USPS,2023-04-17,2023-04-25,,0,5,,0
ORD_000061,CUST_01666,50668,1166,80,2,PROD_8314,Beauty,44.77,0,Standard,UPS,2022-01-17,2022-01-24,,0,4,,0
ORD_000062,CUST_00858,35105,1710,78,16,PROD_5739,Clothing,73.07,5,Next Day,FedEx,2022-09-08,2022-09-11,XS,0,3,,0
ORD_000063,CUST_00321,76562,1254,72,17,PROD_4621,Books,120.55,30,Economy,BlueDart,2022-11-23,2022-12-03,,0,4,Quality issues,1
ORD_000064,CUST_00524,97410,437,94,11,PROD_7244,Books,62.11,15,Next Day,UPS,2024-01-23,2024-01-24,,0,5,,0
ORD_000065,CUST_00937,30585,1312,17,3,PROD_4948,Home & Kitchen,10.28,25,Economy,UPS,2023-02-23,2023-03-05,,0,5,,0
ORD_000066,CUST_00459,24168,1565,93,17,PROD_9683,Toys,32.82,30,Express,DHL,2022-05-28,2022-05-31,,0,2,Not as described,1
ORD_000067,CUST_01785,29709,550,53,1,PROD_1844,Footwear,34.38,30,Next Day,FedEx,2023-10-25,2023-10-26,XXL,0,3,,0
ORD_000068,CUST_00913,64548,844,44,12,PROD_4555,Books,18.99,30,Standard,FedEx,2022-02-10,2022-02-17,,0,4,,0
ORD_000069,CUST_00865,47093,1123,7,0,PROD_8846,Footwear,6.78,0,Standard,FedEx,2022-11-07,2022-11-14,XXL,0,5,,0
ORD_000070,CUST_01757,67377,290,33,2,PROD_8639,Toys,14.29,20,Standard,DHL,2022-07-29,2022-08-04,,0,4,,0
ORD_000071,CUST_01403,28964,299,82,20,PROD_7073,Footwear,109.52,25,Next Day,BlueDart,2023-01-04,2023-01-09,M,0,3,Not as described,1
ORD_000072,CUST_00117,80644,1778,56,7,PROD_7841,Toys,20.32,50,Economy,FedEx,2022-05-30,2022-06-09,,0,3,Not as described,1
ORD_000073,CUST_00101,45093,759,35,9,PROD_5216,Home & Kitchen,25.94,15,Next Day,UPS,2023-08-07,2023-08-10,,0,5,,0
